sampno,perno,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner
4199,2,,1,6,-1,2,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0
4199,3,,1,4,-1,3,1,0,1,1,1,-1,30,300,6,2,4,-1,-1,0
4199,4,,2,4,-1,3,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4201,1,,1,2,-1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4201,2,,1,2,-1,2,1,0,1,1,1,-1,25,300,5,2,4,-1,-1,0
4201,3,,2,6,-1,2,1,0,1,1,1,-1,60,600,5,2,4,-1,-1,0
4202,1,,2,3,-1,4,1,0,1,1,1,-1,30,300,5,2,4,-1,-1,0
4203,1,,1,2,-1,6,1,0,1,1,1,-1,20,200,5,2,4,-1,-1,0
4207,1,,2,6,-1,4,1,0,1,1,1,-1,16,170,5,3,4,-1,-1,0
4207,2,,1,4,-1,2,1,0,1,1,1,-1,7,75,5,3,4,-1,-1,0
4207,3,,1,6,-1,1,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4209,1,,2,6,-1,4,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4209,2,,1,6,-1,3,2,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4211,1,,2,4,-1,6,1,0,1,1,1,-1,10,80,4,2,4,-1,-1,0
4211,2,,1,4,-1,2,1,0,1,1,1,-1,15,120,5,2,4,-1,-1,0
4211,3,,1,4,-1,2,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4217,1,,2,6,-1,6,1,0,2,1,1,-1,7,45,5,2,4,-1,-1,0
4218,1,,2,7,"Alsatian, Prussian, Russian, French, and Polish",8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4218,2,,1,7,"East Indian, Alsatian, Prussian, French, German, Polish, Russian",1,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4222,1,,1,6,-1,8,1,14,5,1,1,-1,7,35,5,2,4,-1,-1,0
